"rep","description_short","description","choreography","length","music","music by","premiere","original cast","num_dancers","costumes","set","lighting","photo_url","premiere_date","premiere_place"
"Tschaikovsky-Piano-Concerto-No-2","Balanchine’s Tschaikovsky Piano Concerto No. 2 is an ebullient outpouring of classical technique with tiaraed tiers of corps de ballet dancers.","Balanchine’s Tschaikovsky Piano Concerto No. 2 is an ebullient outpouring of classical technique with tiaraed tiers of corps de ballet dancers.
Balanchine first staged Tschaikovsky’s Second Piano Concerto for the American Ballet Caravan in May 1941. Under the sponsorship of the Office of the Coordinator of Inter-American Affairs under the Roosevelt administration (Nelson A. Rockefeller, coordinator), the Caravan undertook a tour of South America, performing in every country except Paraguay and Bolivia.
It was felt that a classical ballet should be presented, but instead of reviving an existing ballet, Balanchine created a work in the style of Petipa and the Petersburg tradition. The decor, by Mstislav Dobuzhinsky, showed the Neva, with the Peter-Paul Fortress, framed in the Imperial blue and white of the Winter Palace.
Ballet Imperial was revived in 1964 by New York City Ballet with new decor by Rouben Ter-Arutunian, who followed a similar visual approach. In 1973, Balanchine felt that the allusion to Imperial Russia was outmoded, and that the ballet could stand in relation to the music alone. The title was changed, the decor eliminated, the costumes simplified, and some of the pantomime in the second movement altered—but the choreography as a whole remained the same.
For the 2019 Winter Season, NYCB Director of Costumes Marc Happel has redesigned the costumes. Created with the generous support of Swarovski, the costumes and headpieces feature thousands of Swarovski crystals.","George Balanchine","40 minutes","Piano Concerto No. 2 in G, Op. 44 (1879-80)","Peter Ilyitch Tschaikovsky","May 29, 1941, as Ballet Imperial by American Ballet Caravan, Teatro Municipal, Rio de Janeiro","Marie-Jeanne, Gisella Caccialanza, William Dollar, Fred Danieli, Nicholas Magallanes",5,"-","-","-","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_center,h_700,w_800/f_auto/q_auto/v1571236275/placeholders/tschaikovsky?_a=AACnOEz,","May 29, 1941","as Ballet Imperial by American Ballet Caravan, Teatro Municipal, Rio de Janeiro"
"Concerto-Barocco","One of Balanchine’s greatest masterpieces, Concerto Barocco is music made visible as two elegant yet dynamic lead ballerinas each depict one of the instrumental soloists in a virtuosic double violin concerto.","One of Balanchine’s greatest masterpieces, Concerto Barocco is music made visible as two elegant yet dynamic lead ballerinas each depict one of the instrumental soloists in a virtuosic double violin concerto.
Concerto Barocco had its beginnings as a School of American Ballet exercise and was first performed for the Latin American tour of the American Ballet Caravan in 1941. When it entered the repertory of the Ballet Russe de Monte Carlo in 1945, the dancers were dressed in practice clothes, probably the first appearance of what has come to be regarded as the modern ballet costume pioneered by Balanchine.
Concerto Barocco was presented on the first performance of New York City Ballet in 1948, along with Balanchine's Orpheus and Symphony in C. It is considered the quintessential Balanchine ballet of its period, its manner entirely pure, its choreography no more, and no less, than an ideal response to its score, Bach's Double Violin Concerto in D Minor. About the ballet, the critic Clive Barnes wrote, ""The three hallmarks of the American classic style are poetry, athleticism, and musicality, and these three graces are exquisitely exploited by Concerto Barocco.""","George Balanchine","20 minutes","Concerto in D minor for Two Violins, B.W.V. 1043","Johann Sebastian Bach","June 27, 1941, American Ballet Caravan, Teatro Municipal, Rio De Janeiro.","Marie-Jeanne, Mary Jane Shea, William Dollar",3,"-","-","-","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_center,h_700,w_800/f_auto/q_auto/v1649179398/Ballets/Concerto-Barocco/ConcertoBarocco-Miller-181014-269?_a=AACnOEz,","June 27, 1941","American Ballet Caravan, Teatro Municipal, Rio De Janeiro."
"Symphony-in-C","A grand classical masterpiece, Symphony in C dazzles audiences with over 50 dancers covered in Swarovski elements and a spectacular finale uniting the entire cast. ","A grand classical masterpiece, Symphony in C dazzles audiences with over 50 dancers covered in Swarovski elements and a spectacular finale uniting the entire cast. 
Georges Bizet composed his Symphony in C Major when he was a 17-year-old pupil of Charles Gounod at the Paris Conservatory. The manuscript was lost for decades and was published only after it was discovered in the Conservatory’s library in 1933.
Balanchine first learned of the long-vanished score from Stravinsky. He required only two weeks to choreograph it as Le Palais de Cristal for the Paris Opera Ballet in 1947, where he was serving as a guest ballet master. When he revived the work the following year for New York City Ballet’s first program on October 11, 1948, he simplified the sets and costumes and changed the title. The ballet has remained a vital part of the Company’s repertory ever since.
For the 2012 Spring Season, new costumes for the ballet were designed by Marc Happel, NYCB’s Director of Costumes. The new designs were created in collaboration with Swarovski, and the production features costumes, as well as newly designed crowns, headpieces, and earrings, all created using Swarovski Elements.","George Balanchine","32 minutes","Symphony No. 1 in C major (1855)","Georges Bizet","July 28, 1947, Paris Opéra Ballet, Théâtre National de L'Opéra, as Le Palais de Cristal March 22, 1948, Ballet Society, City Center of Music and Drama, New York","Lycette Darsonval, Tamara Toumanova, Micheline Bardin, Madeleine Lafon, Alexandre Kalioujny, Roger Ritz, Michel Renault, Max Bozzoni",8,"Karinska (1948); Marc Happel (2012)","-","Jean Rosenthal (original production); Mark Stanley (current production)","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_center,h_700,w_800/f_auto/q_auto/v1682459949/Ballets/Symphony-in-C/SymphonyinC_Laracey-Stanley_c37672-14-MOD_1?_a=AACnOEz,","July 28, 1947","Paris Opéra Ballet, Théâtre National de L'Opéra, as Le Palais de Cristal March 22, 1948, Ballet Society, City Center of Music and Drama, New York"
"Who-Cares?-excerpts","Gershwin’s radiant melodies serve as the basis for syncopated group dances and balmy, romantic duets.","Gershwin’s radiant melodies serve as the basis for syncopated group dances and balmy, romantic duets.
Balanchine had an early opportunity to work with George Gershwin: In 1937 Gershwin asked Balanchine to come to Hollywood to work with him on Goldwyn’s Follies(released 1938), which included a Romeo and Juliet number with a mock duel between ballet-dancing Montagues and tap-dancing Capulets. Thirty-three years later, Balanchine choreographed Who Cares? to 16 songs Gershwin composed between 1924 and 1931. Balanchine used the songs not to evoke a particular era but as a basis for a dynamic that is uniquely American and, more specifically, evocative of New York City: Balanchine’s choreography brings out the exuberance of city life.
Who Cares? is both the name of a ballet in the classical idiom by George Balanchine and an old song George and Ira Gershwin wrote in 1931 for Of Thee I Sing. The dictionary says “classic” means standard, leading, belonging to the highest rank or authority. Once it applied mainly to masterpieces from Greco-Roman antiquity; now we have boxing and horse-racing classics, classic cocktail-dresses, and classic cocktails. Among classic American composers we number Stephen Foster, John Philip Sousa, and George Gershwin (1898-1937). First heard 50 years ago, the best of Gershwin songs maintain their classic freshness, like an eternal martini – dry, frank, refreshing, tailor-made, with an invisible kick from its slightest hint of citron. Nostalgia has not syruped the songs’ sentiment nor robbed them of immediate piquancy. We associate them with time past, but when well sung or played, or preferably both at once, they not only revive but transcend their epoch.
The Gershwins’ beautiful manners and high style, their instant melange of insouciance and shrewd innocence, their just estimation of the imaginative elasticity of an elite audience that they had developed, have left a body of words and music that lives unblurred by vulgar rhetoric or machine-made sentiment. To combine an intensely personal attitude with a flagrantly popular language is a feat that few popular artists manage, and it is appropriate that Balanchine has used the songs not as facile recapitulation of a lost epoch, but simply as songs or melodies for classic, undeformed, traditional academic dances, which in their equivalence of phrasing, dynamics, and emotions find their brotherly parallel.
–Lincoln Kirstein","George Balanchine","40 minutes","Strike up the Band (1927), Sweet and Low Down (1925), Somebody Loves Me (1924), Bidin’ My Time (1930), ’S Wonderful (1927), That Certain Feeling (1925), Do Do Do (1926), Lady Be Good (1924), The Man I Love (1924), I’ll Build a Stairway to Paradise (1922), Embraceable You (1930), Fascinatin’ Rhythm (1924), Who Cares? (1931), My One and Only (1927), Liza (1929), I Got Rhythm (1930)","George Gershwin, orchestration by Hershy Kay","February 5, 1970, New York City Ballet, New York State Theater","Jacques d'Amboise, Karin von Aroldingen, Patricia McBride, Marnee Morris",4,"Karinska (original production), Santo Loquasto (current production)","Jo Mielziner (from November 1970)","Ronald Bates (original production); Mark Stanley (current production)","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_center,h_700,w_800/f_auto/q_auto/v1594732363/Ballets/Who-Cares/c41122-2_Who_MFairGordon_sRGB?_a=AACnOEz,","February 5, 1970","New York City Ballet, New York State Theater"
"Glass-Pieces","Expansive in scope and streamlined in style, Glass Pieces captures the pulsating heartbeat of metropolitan life with its charged, urban choreography, concluding in a finale that propels the corps de ballet across the stage at an electrifying pace.","Expansive in scope and streamlined in style, Glass Pieces captures the pulsating heartbeat of metropolitan life with its charged, urban choreography, concluding in a finale that propels the corps de ballet across the stage at an electrifying pace.
Although Philip Glass’s work is often labeled as minimalist, he prefers to call it “music with repetitive structures.” His early compositions were greatly influenced by Ravi Shankar and the hypnotic rhythms of Indian music. Some of his most notable work for theater includes the trilogy of operas comprising Einstein on the Beach, Satyagraha, and Akhnaten.Jerome Robbins, originally in line to direct Akhnaten, instead choreographed a ballet using music from the opera along with Rubric and Facades, both from Glassworks. In Glass Pieces, Robbins incorporated concepts from postmodern dance into the traditional ballet vocabulary, and he infused the work with a distinctly urban energy. The recurrent rhythms, driving momentum, and labyrinth of shifting patterns of the ensemble combine to create a physical architecture for Glass’s music.","Jerome Robbins","24 minutes","Rubric and Façades from Glassworks, excerpts from the opera Akhnaten","Philip Glass","May 12, 1983, New York City Ballet, New York State Theater","Heléne Alexopoulos, Peter Frame, Lourdes Lopez, Joseph Duell, Lisa Hess, Victor Castelli, Maria Calegari, Bart Cook",8,"Ben Benson","Jerome Robbins and Ronald Bates (Production Design)","Ronald Bates","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1590869681/Ballets/Glass-Pieces/GlassPieces_c35827-3?_a=AACnOEz,","May 12, 1983","New York City Ballet, New York State Theater"
"Bourree-Fantasque","Displaying his deep affection for French music, Balanchine’s rarely-seen Bourrée Fantasque, set to a score by Chabrier, charms audiences with its vibrant mixture of frolicsome comedy, sparkling classical choreography, and a blazing finale for the corps de ballet. ","Displaying his deep affection for French music, Balanchine’s rarely-seen Bourrée Fantasque, set to a score by Chabrier, charms audiences with its vibrant mixture of frolicsome comedy, sparkling classical choreography, and a blazing finale for the corps de ballet. 
Balanchine had admired Chabrier's music since discovering it after leaving Russia during his early years in France. He knew well the pieces he would assemble into the score of Bourrée Fantasque, but waited a long time before he used them to create one of the first works for the newly-formed New York City Ballet.
Balanchine was well-known for his wonderful wit as well as an encyclopedic knowledge of dance forms. Here he takes comic aim at many of the conventions that typify the classical dance while providing glimpses of such popular dances such as the can-can and tango. This large ballet for 42 dancers is performed in four movements with each of the first three sections having its own principal couple and culminates in a rousing finale for the entire cast. Critics have cited Bourrée Fantasque for its Gallic style, Russian dance vocabulary and American dynamism.","George Balanchine","23 minutes","Marche Joyeuse (1888); Bourrée Fantasque (1891); ""Prélude"" from the opera Gwendoline (1885); ""Féte Polonaise"" from the comic opera Le Roi Malgré Lui (The Reluctant King) (1887)","Emmanuel Chabrier","December 1, 1949, New York City Ballet, City Center of Music and Drama","Tanaquil Le Clercq, Jerome Robbins, Maria Tallchief, Nicholas Magallanes, Janet Reed, Herbert Bliss",6,"Karinska","-","Jean Rosenthal","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_center,h_700,w_800/f_auto/q_auto/v1714076998/Ballets/BOURR%C3%89E%20FANTASQUE/BourreeFantasque-KiktaMejiaEVonEnckVillarini-Velez-230929-102?_a=AACnOEz,","December 1, 1949","New York City Ballet, City Center of Music and Drama"
"Agon","The apex of Balanchine’s collaborations with Igor Stravinsky, Agon is an intense masterpiece and signature NYCB work, ever contemporary in its athletic competitiveness.","The apex of Balanchine’s collaborations with Igor Stravinsky, Agon is an intense masterpiece and signature NYCB work, ever contemporary in its athletic competitiveness.
The Agon pieces were all modeled after examples in a French dance manual of the mid-17th Century. Agon (""The Contest"") is not a mythical subject piece to complete a trilogy with Apollo and Orpheus. In fact, it has no musical or choreographic subject beyond the new interpretation of the venerable dances that are its pretext. It was even conceived without provision for scenery and was independent, at least in Stravinsky’s mind, of décor, period, and style.","George Balanchine","25 minutes","Agon (1953-56)","Igor Stravinsky","December 1, 1957, New York City Ballet, City Center of Music and Drama","Todd Bolender, Barbara Milberg, Barbara Walczak, Roy Tobias, Jonathan Watts, Melissa Hayden, Diana Adams, Arthur Mitchell",8,"-","-","Nananne Porcher (original production); Mark Stanley (current production)","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_center,h_700,w_800/f_auto/q_auto/v1589852687/Ballets/Agon/Agon-Huxley-c39403-14?_a=AACnOEz,","December 1, 1957","New York City Ballet, City Center of Music and Drama"
"Slaughter-on-Tenth-Avenue","An audience favorite with showbiz glam, Slaughter on Tenth Avenue is a vampy ballet about a jealous Russian premier danseur and his hoofing American rival.","An audience favorite with showbiz glam, Slaughter on Tenth Avenue is a vampy ballet about a jealous Russian premier danseur and his hoofing American rival.
The original Slaughter on Tenth Avenue was created for the 1936 Rodgers and Hart musical On Your Toes, and featured Ray Bolger as ""The Hoofer"" and Tamara Geva as ""The Stripper."" The first full-scale ballet within a musical, and the first to advance the action of the show, it also introduced the word ""choreography"" to Broadway, at Balanchine's request. On Your Toes was also the first of four Rodgers and Hart musicals choreographed by Balanchine during the 1930s, the others being Babes in Arms, I Married an Angel, and The Boys from Syracuse.
A story-within-a-story, it tells the tale of a jealous premier danseur, who hires a thug to kill a rival during the premiere of a new ballet. The ballet — Slaughter on Tenth Avenue — concerns the seedy denizens who patronize a strip joint near the New York waterfront where brawls frequently occur. Within the context of this shabby setting, a Hoofer falls in love with a Stripper and is discovered with her after closing time by the club's owner, the Big Boss, who accidentally shoots her. The ""corpse"" of the Stripper manages to pass a note to the Hoofer warning him of the real murder plot, and once aware that the thug, who is sitting in one of the theater's boxes, is planning to shoot him when he stops dancing, the Hoofer keeps repeating his closing phrase until the police arrive.","George Balanchine","27 minutes","From On Your Toes (1936)","Richard Rodgers, orchestrated by Hershy Kay","April 11, 1936, from On Your Toes, Imperial Theater","Suzanne Farrell, Arthur Mitchell",2,"Irene Sharaff","Jo Mielziner","Jo Mielziner; later by Ronald Bates (original production); Mark Stanley (current production)","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_center,h_700,w_800/f_auto/q_auto/v1590862647/Ballets/Slaughter-on-Tenth-Avenue/Slaughter-Kowroski-c18203-06?_a=AACnOEz,","April 11, 1936","from On Your Toes, Imperial Theater"
"Prodigal-Son","The ultimate story of sin and redemption, Prodigal Son's powerful message, expressive score, and dramatic movement make it eternally impactful.","The ultimate story of sin and redemption, Prodigal Son's powerful message, expressive score, and dramatic movement make it eternally impactful.
Serge Diaghilev, who founded Ballets Russes in 1911, was a ballet and opera impresario who brought together the best of new music, dance, and visual art in his productions. George Balanchine was hired by Diaghilev in 1924 and created several ballets before the company disbanded in 1929, after Diaghilev's sudden death.
Prodigal Son was the last of Balanchine's works for Ballets Russes; it premiered in 1929, opening what was to be the company's final Paris season. Diaghilev commissioned Sergei Prokofiev to write the score and Georges Rouault to design the Fauvist sets and costumes. The ballet's story comes from the biblical parable, but Boris Kochno added much dramatic material and, to emphasize the themes of sin and redemption, ended the story with the Prodigal's return home.
Prodigal Son was enthusiastically received by both audience and critics and was one of Balanchine's first ballets to achieve an international reputation. Its eternal themes, expressive score, and abstract but thoroughly dramatic movement make it as modern, exciting, and powerful today as it was in 1929.","George Balanchine","35 minutes","Le Fils Prodigue Op. 46 (1928-29), libretto by Boris Kochno.","Sergei Prokofiev","May 21, 1929, Diaghilev's Ballets Russes, Théâtre Sarah-Bernhardt, Paris","Felia Doubrovska, Serge Lifar, Michael Fedorov, Eleanora Marra, Nathalie Branitzka, Léon Woizikowsky, Anton Dolin",7,"Recreated by Esteban Francés from sketches by Georges Rouault","Recreated by Esteban Francés from sketches by Georges Rouault (added July 1950)","Ronald Bates (original production); Mark Stanley (current production)","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1590862066/Editorial/Spotlight-on-Prodigal-Son/ProdigalSon_UlbrichtReichlen_c31685-15?_a=AACnOEz,","May 21, 1929","Diaghilev's Ballets Russes, Théâtre Sarah-Bernhardt, Paris"
"The-Steadfast-Tin-Soldier","Based on Hans Christian Andersen's charming fairytale, The Steadfast Tin Soldier finds bittersweet romance between a paper doll ballerina and a smitten toy soldier.","Based on Hans Christian Andersen's charming fairytale, The Steadfast Tin Soldier finds bittersweet romance between a paper doll ballerina and a smitten toy soldier.
The Steadfast Tin Soldier, based loosely on a Hans Christian Andersen fairy tale, focuses on the wistful courtship and love between a tin soldier and a paper-doll ballerina. The work was commissioned by the Saratoga Performing Arts Center.
The present pas de deux stems from a 1955 collaboration in which Balanchine, Francisco Moncion, and Barbara Milberg choreographed all of Bizet's Jeux d'Enfants. Both the context and the woman's variation of The Steadfast Tin Soldier were derived from this earlier work. The soldier's variation was restaged for the new pas de deux.","George Balanchine","11 minutes","Jeux d'Enfants, Opp. 22-26, nos. 6, 3, 11, 12 (1871)","Georges Bizet","July 30, 1975, New York City Ballet, Saratoga Performing Arts Center, Saratoga, New York","Patricia McBride, Peter Schaufuss",2,"David Mitchell","David Mitchell","Ronald Bates (original production); Mark Stanley (current production)","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_center,h_700,w_800/f_auto/q_auto/v1590870536/Ballets/Steadfast-Tin-Soldier/Steadfast-Tin-Soldier-Ulbricht-Pereira-C33252-6?_a=AACnOEz,","July 30, 1975","New York City Ballet, Saratoga Performing Arts Center, Saratoga, New York"
"errante-formerly-titled-tzigane","This choreographic fantasy begins with the sound of a plaintive violin that signals the beginning of the ballerina's five-minute solo. At its end, she is joined by her partner and four couples.","This choreographic fantasy begins with the sound of a plaintive violin that signals the beginning of the ballerina's five-minute solo. At its end, she is joined by her partner and four couples.
Balanchine created this work for the 1975 Ravel Festival, and it was choreographed for the legendary ballerina Suzanne Farrell. Originally titled Tzigane, after the name of Maurice Ravel’s rhapsodic score, the ballet was revived by NYCB for the first time in more than 30 years with a new name – Errante. In Ravel’s time, Tzigane did not strictly refer to the Roma people, but now it carries negative meanings. After consulting with Farrell, The George Balanchine Trust, and NYCB, the name of the ballet was changed. Farrell, holding the rights, adopted Errante, meaning wandering, a title Balanchine once used for a 1933, now lost ballet.","George Balanchine","11 minutes","Tzigane (1924)","Maurice Ravel","May 29, 1975, New York City Ballet, Ravel Festival, New York State Theater","Suzanne Farrell, Peter Martins",2,"Joe Eula and Stanley Simmons (from Kodály Dances)","-","Ronald Bates","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1714426852/240423-265Errante?_a=AACnOEz,","May 29, 1975","New York City Ballet, Ravel Festival, New York State Theater"
"Rubies","Rubies sends its dancers racing across the stage like lightning to Stravinsky’s jazz-inflected piano capriccio, emphasized by a sharp attack and sassy style.","Rubies sends its dancers racing across the stage like lightning to Stravinsky’s jazz-inflected piano capriccio, emphasized by a sharp attack and sassy style.
Igor Stravinsky composed his three-movement Capriccio for Piano and Orchestra, the music for Rubies, in 1928-29. He intended it as a vehicle for his own appearances as a concert pianist and as something of a relief from his Concerto for Piano and Wind Instruments, which he had written five years before for the same purpose. The Capriccio is, in effect, a second piano concerto. Stravinsky said that as he wrote this score he had in mind Carl Maria von Weber, a composer he championed; in fact, he quotes Weber in the music. Another of Stravinsky’s enthusiasms that affects the Capriccio is the cimbalom. Figurations typical of this east European instrument are in evidence at various places in the solo piano part — in certain repeated notes and in the cadenza in the second movement, for example. Balanchine set the second movement as a pas de deux for the principal dancers, and they and a soloist dance with the corps de ballet in various combinations in the outer movements.","George Balanchine","19 minutes","Rubies: Capriccio for Piano and Orchestra (1929)","Igor Stravinsky","April 13, 1967, New York City Ballet, New York State Theater","Patricia McBride, Patricia Neary, Edward Villella",3,"-","-","-","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_north,h_700,w_800/f_auto/q_auto/v1590862317/Ballets/Jewels/Rubies/Rubies-Kikta-190917B-199?_a=AACnOEz,","April 13, 1967","New York City Ballet, New York State Theater"
"new-j-peck","On the heels of creating his first full-evening work in the 22-23 Season, Copland Dance Episodes, Justin Peck offers his 24th ballet for the Company.A pas de deux choreographed by Justin Peck, Dig the Say is set to Vijay Iyer’s eponymous 2012 score. The premiere performances of the ballet featured PUBLIQuartet, the multi-Grammy nominated string quartet that was founded in New York City in 2010.","On the heels of creating his first full-evening work in the 22-23 Season, Copland Dance Episodes, Justin Peck offers his 24th ballet for the Company.A pas de deux choreographed by Justin Peck, Dig the Say is set to Vijay Iyer’s eponymous 2012 score. The premiere performances of the ballet featured PUBLIQuartet, the multi-Grammy nominated string quartet that was founded in New York City in 2010.","Justin Peck","10 Minutes","Dig the Say","Vijay Iyer","May 2, 2024, New York City Ballet, David H. Koch Theater","Tiler Peck, Roman Mejia",2,"-","-","-","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1714779232/240502-146Dig?_a=AACnOEz,","May 2, 2024","New York City Ballet, David H. Koch Theater"
"In-Creases","Like a puzzle of shifting shapes and formations, Peck's first ballet for NYCB showcases his keen eye for manipulating bodies to form complex geometric structures and unique patterns.","Like a puzzle of shifting shapes and formations, Peck's first ballet for NYCB showcases his keen eye for manipulating bodies to form complex geometric structures and unique patterns.
In Creases is the first work Justin Peck, a former soloist with New York City Ballet, created for the Company. The ballet is set to Philip Glass’ ""Four Movements for Two Pianos,"" and received its world premiere in July 2012 during NYCB’s annual summer residency at the Saratoga Performing Arts Center in upstate New York. Peck has since created 18 works for NYCB, and was named the Company’s Resident Choreographer in 2014 and Artistic Advisor in 2019.","Justin Peck","14 minutes","Four Movements for Two Pianos (First and Third Movements)","Philip Glass","July 14, 2012, New York City Ballet, Saratoga Performing Arts Center","Emilie Gerrity, Brittany Pollack, Gretchen Smith, Lydia Wellington, Robert Fairchild, Taylor Stanley, Sean Suozzi, Christian Tworzyanski",8,"-","-","-","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_east,h_700,w_800/f_auto/q_auto/v1627924340/Ballets/In-Creases/In-Creases-Suozzi-C34327-10?_a=AACnOEz,","July 14, 2012","New York City Ballet, Saratoga Performing Arts Center"
"Underneath-There-is-Light","NYC-based ballet, modern, and theater choreographer Amy Hall Garner—who has been commissioned by an array of companies including Miami City Ballet, Paul Taylor Dance Company, and Ailey II—creates her first work for the NYCB stage.","NYC-based ballet, modern, and theater choreographer Amy Hall Garner—who has been commissioned by an array of companies including Miami City Ballet, Paul Taylor Dance Company, and Ailey II—creates her first work for the NYCB stage.
Underneath, There Is Light is Amy Hall Garner’s first work for NYCB. Set to selections of music by five composers—Jonathan Dove, Michael Zev Gordon, William Grant Still, Ottorino Respighi, and Aldemaro Romero — Underneath, There Is Light features costumes designed by NYCB Director of Costumes Marc Happel and scenery and lighting by NYCB Resident Lighting Designer Mark Stanley.  ","Amy Hall Garner","25 Minutes","Olivia Bell, Olivia Boisson, Naomi Corti, Alston Macgill, Mary Thomas MacKinnon, Miriam Miller, Grace Scheffel, Rommie Tomasini, Emma Von Enck, *Mia Williams, Victor Abreu, Gilbert Bolden III, Chun Wai Chan, Kennard Henson, Jules Mabie, McKenzie Bernardino Soares, Taylor Stanley, KJ Takahashi, Andres Zuniga (*Apprentice, NYCB)","","May 2, 2024, New York City Ballet, David H. Koch Theater","Marc Happel",1,"-","-","-","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1714779228/240502-478Underneath_Chan_MTMac_Bolden?_a=AACnOEz,","May 2, 2024","New York City Ballet, David H. Koch Theater"
"Pictures-at-an-Exhibition","Like the ever-changing Wassily Kandinsky watercolors that set the stage, Pictures at an Exhibition’s ten dancers move in varying combinations to display a plethora of emotion, from raw and wild to solemn and soulful.","Like the ever-changing Wassily Kandinsky watercolors that set the stage, Pictures at an Exhibition’s ten dancers move in varying combinations to display a plethora of emotion, from raw and wild to solemn and soulful.
Created for New York City Ballet during the fall of 2014, Pictures at an Exhibition was Alexei Ratmansky’s fourth work for the Company. Using Modest Mussorgsky’s famed piano score, Pictures at an Exhibition, the ballet includes lighting design by Mark Stanley and projections of Wassily Kandinsky’s Color Study Squares with Concentric Circles, designed by Wendall K. Harrington. The 10 dancers are costumed in designs by fashion designer Adeline Andre, a frequent collaborator of Ratmansky’s.","Alexei Ratmansky","35 minutes","Pictures at an Exhibition","Modest Mussorgsky","October 2, 2014, New York City Ballet, David H. Koch Theater","Sara Mearns, Tiler Peck, Abi Stafford, Wendy Whelan, Gretchen Smith, Tyler Angle, Adrian Danchig-Waring, Gonzalo Garcia, Amar Ramasar, Joseph Gordon",10,"Adeline Andre","-","Mark StanleyProjection design by Wendall K. Harrington","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1579693587/legacy/imported/pictures-at-an-exhibition-key?_a=AACnOEz,","October 2, 2014","New York City Ballet, David H. Koch Theater"
"Play-Time","Set to a free jazz score by Grammy-winning artist Solange Knowles, Gianna Reisen’s Play Time features a cavorting ensemble of ten dancers in metallic and jewel-toned, business suit-inspired costumes covered in pinstripes of brilliantly eye-catching Swarovski crystals designed by Alejandro Gómez Palomo.","Set to a free jazz score by Grammy-winning artist Solange Knowles, Gianna Reisen’s Play Time features a cavorting ensemble of ten dancers in metallic and jewel-toned, business suit-inspired costumes covered in pinstripes of brilliantly eye-catching Swarovski crystals designed by Alejandro Gómez Palomo.
Gianna Reisen’s Play Time is her third work for New York City Ballet, following Composer’s Holiday (2017) and Judah (2018). Play Time features a commissioned score by Grammy-Award winning singer, songwriter, and visual artist Solange Knowles, her first for a ballet company. The ballet for 10 dancers, which premiered at the 2022 Fall Fashion Gala, includes costumes by fashion designer Alejandro Gómez Palomo for Palomo Spain, featuring Swarovski crystals, and lighting by Mark Stanley.","Gianna Reisen","16 minutes","Villanelle for Times 2022Commissioned by New York City Ballet","Solange Knowles","September 28, 2022, New York City Ballet, David H. Koch Theater","India Bradley, Chun Wai Chan, Christina Clark, Harrison Coll, David Gabriel, Unity Phelan, Davide Riccardo, KJ Takahashi, Emma Von Enck, Indiana Woodward",10,"Alejandro Gómez Palomo for Palomo Spain","-","-","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1664490769/PlayTime-69A6811?_a=AACnOEz,","September 28, 2022","New York City Ballet, David H. Koch Theater"
"Red-Angels","A dynamically charged, abstract work, Red Angels highlights the power and athleticism of its four dancers through bold choreography, intense lighting, and a riveting score for electric violin.","A dynamically charged, abstract work, Red Angels highlights the power and athleticism of its four dancers through bold choreography, intense lighting, and a riveting score for electric violin.
Created for New York City Ballet’s Diamond Project in 1994, Red Angels was the first work created for NYCB by the late choreographer Ulysses Dove. An abstract work for four dancers, Red Angels is set to Richard Einhorn’s ""Maxwell’s Demon"", a solo for electric violin performed by innovative American violinist Mary Rowell.","Ulysses Dove","12 minutes","Maxwell's Demon","Richard Einhorn","May 19, 1994, The Diamond Project II, New York City Ballet, New York State Theater","Darci Kistler, Wendy Whelan, Albert Evans, Peter Boal",4,"Holly Hynes","-","Mark Stanley","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1595010995/Ballets/Red-Angels/Red-Angels-Kowroski-Danchig-Waring-C35973-6?_a=AACnOEz,","May 19, 1994","The Diamond Project II, New York City Ballet, New York State Theater"
